8120,7,1341.93,360.70,51.77,151.72,0.94,-1,-1,-1
8120,4,1168.86,365.90,92.96,105.08,0.90,-1,-1,-1
8121,7,1339.95,360.62,54.24,150.32,0.94,-1,-1,-1
8121,4,1181.64,364.79,89.48,103.06,0.90,-1,-1,-1
8122,7,1337.93,360.84,55.63,150.84,0.95,-1,-1,-1
8122,4,1195.08,364.77,84.43,116.85,0.89,-1,-1,-1
8123,7,1333.59,361.13,59.94,149.43,0.95,-1,-1,-1
8123,4,1206.75,364.63,77.68,103.97,0.83,-1,-1,-1
8124,7,1328.47,360.98,65.03,148.69,0.96,-1,-1,-1
8124,4,1216.38,364.18,73.47,116.61,0.76,-1,-1,-1
8125,7,1324.40,360.40,68.46,148.72,0.96,-1,-1,-1
8125,4,1238.36,364.60,62.11,144.90,0.55,-1,-1,-1
8126,7,1321.82,360.95,71.55,148.76,0.96,-1,-1,-1
8127,7,1321.62,362.08,71.44,147.14,0.96,-1,-1,-1
8127,4,1268.76,361.12,68.51,121.04,0.78,-1,-1,-1
8128,7,1322.80,362.13,70.37,146.51,0.95,-1,-1,-1
8128,4,1276.62,361.06,66.94,129.06,0.74,-1,-1,-1
8129,7,1324.31,362.91,68.09,145.23,0.95,-1,-1,-1
8129,4,1285.97,358.91,65.66,129.90,0.80,-1,-1,-1
8130,7,1326.11,362.49,65.43,144.31,0.93,-1,-1,-1
8130,4,1297.53,358.64,57.06,137.84,0.79,-1,-1,-1
8131,7,1312.79,358.51,75.25,150.15,0.91,-1,-1,-1
8131,4,1311.00,358.83,46.53,135.59,0.58,-1,-1,-1
8132,7,1318.62,357.26,66.45,150.71,0.92,-1,-1,-1
8133,7,1312.61,359.30,62.77,151.61,0.88,-1,-1,-1
8134,7,1329.50,358.21,45.70,142.43,0.64,-1,-1,-1
8134,4,1310.75,360.07,59.04,151.01,0.87,-1,-1,-1
8135,7,1328.23,360.51,50.31,144.76,0.80,-1,-1,-1
8135,4,1308.67,360.27,54.59,149.17,0.83,-1,-1,-1
8136,7,1330.71,362.04,62.81,129.50,0.77,-1,-1,-1
8136,4,1299.63,359.28,60.74,153.26,0.83,-1,-1,-1
8137,7,1351.31,365.39,59.07,123.07,0.87,-1,-1,-1
8137,4,1295.45,359.07,54.08,153.45,0.87,-1,-1,-1
8138,7,1359.80,369.50,65.48,119.12,0.92,-1,-1,-1
8138,4,1289.03,359.08,57.89,151.10,0.91,-1,-1,-1
8139,7,1365.18,374.43,73.45,117.52,0.87,-1,-1,-1
8139,4,1282.64,359.94,65.91,149.79,0.94,-1,-1,-1
8140,7,1368.91,377.35,73.78,111.93,0.88,-1,-1,-1
8140,4,1277.29,361.99,72.70,148.78,0.94,-1,-1,-1
8141,7,1367.11,379.10,97.99,108.66,0.86,-1,-1,-1
8141,4,1268.95,363.46,78.79,145.07,0.94,-1,-1,-1
8142,7,1368.60,380.37,106.66,108.99,0.93,-1,-1,-1
8142,4,1258.00,364.78,89.82,145.69,0.95,-1,-1,-1
8143,7,1374.01,380.76,102.97,112.95,0.89,-1,-1,-1
8143,4,1256.93,366.35,90.01,143.21,0.96,-1,-1,-1
8144,7,1385.68,382.01,101.18,113.91,0.92,-1,-1,-1
8144,4,1256.83,366.94,87.61,142.51,0.97,-1,-1,-1
8145,7,1388.93,384.48,107.54,112.11,0.94,-1,-1,-1
8145,4,1256.53,366.70,83.81,141.17,0.96,-1,-1,-1
8146,7,1403.59,388.06,94.24,109.11,0.95,-1,-1,-1
8146,4,1254.01,366.50,80.05,140.71,0.93,-1,-1,-1
8147,7,1424.99,392.55,73.93,104.81,0.94,-1,-1,-1
8147,4,1249.37,364.99,77.13,140.83,0.94,-1,-1,-1
